year,sctg2,commodity_name,total_value,total_current_value,total_tons,total_tmiles,value_share_pct
2024,35,Electronics,1936013.0116229998,2330443.346822998,107702.82382899984,66979.39790799981,10.19
2024,36,"Motorized vehicles",1608307.6345579997,1879479.8596609978,226286.45269899932,110426.27743900022,8.47
2024,21,Pharmaceuticals,1585407.9493739994,1915525.7438029998,39056.37793699987,21194.168532999953,8.35
2024,43,"Mixed freight",1517636.7234170006,2048025.097796002,433832.104724,86278.50901200002,7.99
2024,34,Machinery,1148261.2309299991,1564366.010872,132116.59003900003,71958.19697299972,6.05
2024,24,Plastics/rubber,806487.2772270001,1054099.482955001,281414.2685299996,146463.34633999984,4.25
2024,17,Gasoline,782808.9605649998,1084984.5571370004,1459974.0008449997,203078.1579200002,4.12
2024,19,"Natural gas and other fossil products",743636.2739170002,905977.317556001,3081943.0988990017,616142.9263900002,3.92
2024,7,"Other foodstuffs",736964.7940859991,963751.2721070002,687886.3000430005,244854.25473300004,3.88
2024,40,"Misc. mfg. prods.",733808.4225740005,1069925.7275649975,94704.14893700005,40999.622255,3.86
2024,30,Textiles/leather,551452.0333140005,692560.2030510006,54587.53473399999,35482.66465599992,2.9
2024,38,"Precision instruments",497700.67461399984,607071.8307250006,14926.830735000016,10307.520227000012,2.62
2024,32,"Base metals",493883.4890830004,736404.9213209997,358977.813226,129976.86049199995,2.6
2024,18,"Fuel oils",486615.38450699986,843614.3822909999,975730.6345780002,138488.29800100008,2.56
2024,23,"Chemical prods.",457024.04463900026,612804.9726360018,144646.96207300018,71544.12812499996,2.41
2024,5,Meat/seafood,427252.9551190004,547851.364592,111216.98566700009,57974.154634000035,2.25
2024,33,"Articles-base metal",423384.5412339998,638945.9385350008,144556.54748500016,63396.11644100007,2.23
2024,16,"Crude petroleum",410049.5303769999,617152.7100020001,1219860.192569,678726.4872599997,2.16
2024,3,"Other ag prods.",405644.4487170002,514957.71236500004,741892.220476,253961.45725600017,2.14
2024,20,"Basic chemicals",378956.9355840001,462751.01376500016,452265.5410749993,173745.19152899995,2
