year,origin_zone_name,destination_zone_name,freight_corridor,total_value,total_current_value,total_tons,total_tmiles
2024,"Los Angeles-Long Beach, CA  CFS Area","Los Angeles-Long Beach, CA  CFS Area","Los Angeles-Long Beach, CA  CFS Area → Los Angeles-Long Beach, CA  CFS Area",563954.52813,734072.959499,392586.69237299997,13104.693320999999
2024,"Houston-The Woodlands, TX  CFS Area","Houston-The Woodlands, TX  CFS Area","Houston-The Woodlands, TX  CFS Area → Houston-The Woodlands, TX  CFS Area",344500.847637,467896.36116399994,469414.45531199995,14470.501836000001
2024,"Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)","Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)","Chicago-Naperville, IL-IN-WI  CFS Area (IL Part) → Chicago-Naperville, IL-IN-WI  CFS Area (IL Part)",297454.970769,387575.544811,199635.33006500005,5774.376505000002
2024,"Dallas-Fort Worth, TX-OK  CFS Area (TX Part)","Dallas-Fort Worth, TX-OK  CFS Area (TX Part)","Dallas-Fort Worth, TX-OK  CFS Area (TX Part) → Dallas-Fort Worth, TX-OK  CFS Area (TX Part)",226424.28855099998,308009.626273,313638.989497,13992.250172000002
2024,"New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part) → New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)",204356.828048,274436.61548,136071.92293499995,5314.402426999997
2024,"Detroit-Warren-Ann Arbor, MI  CFS Area","Detroit-Warren-Ann Arbor, MI  CFS Area","Detroit-Warren-Ann Arbor, MI  CFS Area → Detroit-Warren-Ann Arbor, MI  CFS Area",184817.40803700002,233957.35539700004,154683.96508299987,5057.339915000001
2024,"Remainder of Texas","Remainder of Texas","Remainder of Texas → Remainder of Texas",183472.433028,260104.32620999997,357122.508173,74956.89388800002
2024,"San Jose-San Francisco-Oakland, CA  CFS Area","San Jose-San Francisco-Oakland, CA  CFS Area","San Jose-San Francisco-Oakland, CA  CFS Area → San Jose-San Francisco-Oakland, CA  CFS Area",175344.714572,231204.96269999997,164262.059604,5777.074659999999
2024,"New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part) → New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)",168428.113668,220023.194668,163078.76102599996,4402.287361999998
2024,"Seattle-Tacoma, WA  CFS Area","Seattle-Tacoma, WA  CFS Area","Seattle-Tacoma, WA  CFS Area → Seattle-Tacoma, WA  CFS Area",133544.68884600003,175609.03497100002,157272.748013,5951.167545000002
